datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/10 17:55:43,6.29,1094.57,196.648,0.0011,-67.09
2022/3/10 17:58:19,6.29,1094.95,189.037,0.0011,-66.78
2022/3/10 18:0:55,6.29,1094.61,188.731,0.0011,-66.28
2022/3/10 18:3:31,6.30,1094.86,213.292,0.0011,-66.68
2022/3/10 18:6:7,6.30,1095.18,186.114,0.0011,-66.99
2022/3/10 18:8:42,6.30,1095.31,185.387,0.0011,-66.73
2022/3/10 18:11:18,6.30,1095.43,181.496,0.0011,-67.46
2022/3/10 18:13:54,6.31,1095.68,190.029,0.0011,-66.94
2022/3/10 18:16:30,6.30,1096.00,188.679,0.0011,-66.94
2022/3/10 18:19:6,6.30,1096.22,186.784,0.0011,-66.78
2022/3/10 18:21:42,6.30,1096.62,185.008,0.0011,-66.78
2022/3/10 18:24:17,6.30,1096.69,185.300,0.0011,-66.78
2022/3/10 18:26:53,6.28,1097.20,194.332,0.0011,-66.33
2022/3/10 18:29:29,6.28,1097.46,182.012,0.0011,-66.99
2022/3/10 18:32:5,6.28,1097.85,184.924,0.0010,-66.68
2022/3/10 18:34:41,6.26,1098.09,188.738,0.0010,-66.23
2022/3/10 18:37:16,6.26,1098.71,185.529,0.0010,-66.63
2022/3/10 18:39:52,6.25,1099.02,189.490,0.0010,-66.83
2022/3/10 18:42:28,6.24,1098.98,187.889,0.0010,-66.94
2022/3/10 18:45:4,6.23,1099.55,186.094,0.0010,-66.83
2022/3/10 18:47:40,6.22,1099.83,177.289,0.0010,-66.94
2022/3/10 18:50:16,6.22,1100.61,191.131,0.0010,-66.43
2022/3/10 18:52:51,6.21,1101.14,200.326,0.0010,-66.43
2022/3/10 18:55:27,6.20,1101.51,193.667,0.0010,-66.23
2022/3/10 18:58:3,6.19,1101.67,179.527,0.0010,-66.53
2022/3/10 19:0:39,6.19,1103.05,197.087,0.0010,-66.58
2022/3/10 19:3:15,6.18,1103.94,188.830,0.0010,-66.63
2022/3/10 19:5:50,6.17,1104.68,190.786,0.0010,-67.57
2022/3/10 19:8:26,6.17,1105.48,201.248,0.0010,-66.73
2022/3/10 19:11:2,6.17,1106.36,195.544,0.0010,-66.99
2022/3/10 19:13:38,6.16,1106.76,203.103,0.0010,-66.68
2022/3/10 19:16:14,6.15,1107.24,196.641,0.0010,-67.30
2022/3/10 19:18:49,6.14,1108.36,205.906,0.0010,-66.94
2022/3/10 19:21:25,6.14,1109.13,194.095,0.0010,-66.53
2022/3/10 19:24:1,6.13,1110.58,214.701,0.0010,-66.99
2022/3/10 19:26:37,6.13,1111.84,205.441,0.0010,-66.48
2022/3/10 19:29:13,6.13,1113.43,217.404,0.0010,-66.78
2022/3/10 19:31:48,6.13,1113.75,214.859,0.0010,-66.99
2022/3/10 19:34:24,6.12,1114.74,217.672,0.0009,-66.73
2022/3/10 19:37:0,6.12,1115.75,230.153,0.0009,-66.78
2022/3/10 19:39:36,6.11,1117.38,220.217,0.0009,-66.33
2022/3/10 19:42:12,6.11,1118.56,226.945,0.0009,-66.94
2022/3/10 19:44:47,6.11,1119.77,220.880,0.0009,-66.94
2022/3/10 19:47:23,6.10,1120.80,243.142,0.0009,-66.94
2022/3/10 19:49:59,6.10,1121.92,244.098,0.0009,-66.94
2022/3/10 19:52:35,6.09,1123.37,242.904,0.0009,-66.78
2022/3/10 19:55:11,6.09,1124.36,250.155,0.0009,-66.78
2022/3/10 19:57:47,6.08,1126.18,251.915,0.0009,-67.09
2022/3/10 20:0:22,6.08,1127.33,257.585,0.0009,-66.48
2022/3/10 20:2:58,6.08,1128.82,258.843,0.0009,-66.43
2022/3/10 20:5:34,6.08,1130.62,257.405,0.0009,-66.58
2022/3/10 20:8:10,6.07,1132.34,264.572,0.0009,-66.58
2022/3/10 20:10:46,6.07,1134.60,271.086,0.0009,-65.38
2022/3/10 20:13:21,6.07,1136.54,265.196,0.0009,-65.42
