time,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5
3275,90.5,51.3125,33.8125,24.1875,17.9375,7.3125
3284,90.5625,51.3125,33.875,24.1875,17.9375,7.3125
3294,90.5625,51.375,33.875,24.1875,17.9375,7.3125
3303,90.5625,51.375,33.875,24.1875,17.9375,7.3125
3313,90.5625,51.375,33.9375,24.1875,17.9375,7.3125
3322,90.5625,51.4375,33.9375,24.1875,17.9375,7.3125
3332,90.5625,51.4375,33.9375,24.25,17.9375,7.3125
3342,90.5625,51.5,34.0,24.25,17.9375,7.3125
3351,90.5625,51.5,34.0,24.25,17.9375,7.3125
3361,90.5625,51.5,34.0,24.25,17.9375,7.375
3370,90.5625,51.5,34.0,24.25,17.9375,7.3125
3380,90.5625,51.5,34.0625,24.25,17.9375,7.375
3389,90.5625,51.5625,34.0625,24.25,17.9375,7.375
3399,90.5625,51.5625,34.0625,24.25,17.9375,7.375
3408,90.5625,51.625,34.0625,24.25,17.9375,7.375
3418,90.5,51.625,34.0625,24.3125,17.9375,7.375
3428,90.5,51.625,34.0625,24.3125,17.9375,7.375
3437,90.5,51.6875,34.125,24.3125,17.9375,7.375
3447,90.5,51.6875,34.125,24.3125,17.9375,7.375
3456,90.5,51.6875,34.125,24.3125,17.9375,7.375
3466,90.5,51.6875,34.125,24.3125,17.9375,7.375
3475,90.4375,51.75,34.1875,24.3125,17.9375,7.375
3485,90.4375,51.8125,34.1875,24.3125,17.9375,7.375
3494,90.375,51.8125,34.1875,24.3125,17.9375,7.375
3504,90.3125,51.875,34.1875,24.3125,17.9375,7.375
3514,90.3125,51.875,34.25,24.375,17.9375,7.375
3523,90.375,51.9375,34.25,24.375,17.9375,7.4375
3533,90.5,51.9375,34.25,24.375,17.9375,7.4375
3542,90.5,52.0,34.3125,24.375,17.9375,7.4375
3552,90.5,52.0,34.3125,24.375,17.9375,7.4375
3561,90.4375,52.0,34.3125,24.375,17.9375,7.4375
3571,90.3125,52.0625,34.3125,24.375,17.9375,7.4375
3580,90.25,52.0625,34.375,24.375,17.9375,7.4375
3590,90.1875,52.0625,34.375,24.375,17.9375,7.4375
3600,90.25,52.125,34.375,24.375,17.9375,7.4375
3609,90.3125,52.125,34.375,24.4375,17.9375,7.4375
3619,90.375,52.1875,34.375,24.4375,17.9375,7.4375
3628,90.4375,52.1875,34.4375,24.4375,18.0,7.5
3638,90.5,52.25,34.4375,24.4375,18.0,7.5
3647,90.5625,52.25,34.4375,24.4375,18.0,7.5
3657,90.625,52.3125,34.5,24.4375,18.0,7.5
3666,90.6875,52.375,34.5,24.4375,18.0,7.5
3676,90.8125,52.375,34.5625,24.5,18.0,7.5
3686,90.8125,52.4375,34.5625,24.5,18.0,7.5625
3695,90.8125,52.4375,34.5625,24.5,18.0,7.5625
3705,90.8125,52.5,34.5625,24.5,18.0,7.5625
3714,90.8125,52.5,34.625,24.5,18.0,7.5625
3724,90.75,52.5625,34.625,24.5,18.0,7.5625
3733,90.8125,52.625,34.6875,24.5625,18.0,7.5625
3743,90.8125,52.625,34.6875,24.5625,18.0,7.5625
3752,90.75,52.6875,34.75,24.5625,18.0,7.5625
3762,90.625,52.75,34.75,24.5625,18.0,7.5625
3772,90.5,52.75,34.75,24.5625,18.0,7.5625
3781,90.375,52.75,34.8125,24.5625,18.0,7.625
3791,90.25,52.75,34.8125,24.625,18.0,7.625
3800,90.1875,52.75,34.8125,24.625,18.0,7.625
3810,90.0625,52.75,34.8125,24.625,18.0,7.625
3819,90.0,52.75,34.875,24.625,18.0,7.625
3829,89.9375,52.75,34.875,24.625,18.0,7.625
3838,89.875,52.75,34.875,24.625,18.0,7.625
3848,89.8125,52.75,34.875,24.6875,18.0,7.6875
3857,89.75,52.75,34.9375,24.6875,18.0,7.6875
3867,89.6875,52.6875,34.9375,24.6875,18.0,7.6875
3877,89.6875,52.6875,34.9375,24.6875,18.0625,7.6875
3886,89.625,52.6875,34.9375,24.6875,18.0,7.6875
3896,89.5625,52.6875,34.9375,24.6875,18.0,7.6875
3905,89.5,52.75,34.9375,24.6875,18.0625,7.6875
3915,89.4375,52.75,35.0,24.6875,18.0,7.6875
3924,89.375,52.75,35.0,24.75,18.0625,7.75
3934,89.3125,52.8125,35.0,24.75,18.0,7.75
3943,89.3125,52.8125,35.0,24.75,18.0,7.75
3953,89.25,52.8125,35.0625,24.75,18.0625,7.75
3962,89.1875,52.8125,35.0625,24.75,18.0625,7.75
3972,89.1875,52.8125,35.0625,24.75,18.0625,7.75
3982,89.1875,52.875,35.0625,24.75,18.0625,7.8125
3991,89.125,52.875,35.0625,24.8125,18.0625,7.8125
4001,89.125,52.875,35.125,24.8125,18.0625,7.8125
4010,89.125,52.875,35.125,24.8125,18.0625,7.8125
4020,89.125,52.875,35.125,24.8125,18.0625,7.8125
4029,89.125,52.875,35.125,24.8125,18.0625,7.8125
